,datemissao,idedocumento,Ano,Mês,Partido,UF,Nome do Parlamentar,Descrição,Fornecedor,Valor do Documento,Valor Glosa,Valor Líquido,vlrrestituicao,Região
82,2020-01-27 00:00:00,7014486,2020,1,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,35.05,1.67,33.38,,Sudeste
83,2020-01-27 00:00:00,7014487,2020,1,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,67.5,0.0,67.5,,Sudeste
84,2020-01-27 00:00:00,7014488,2020,1,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,195.13,3.46,191.67,,Sudeste
85,2020-01-20 00:00:00,7014430,2020,2,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,MASTER TOWER,413.13,16.41,396.72,,Sudeste
86,2020-01-20 00:00:00,7014433,2020,2,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,MASTER TOWER,421.75,16.75,405.0,,Sudeste
87,2020-01-20 00:00:00,7014437,2020,2,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,MASTER TOWER,430.37,17.09,413.28,,Sudeste
88,2020-01-20 00:00:00,7014424,2020,2,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,MASTER TOWER,439.31,17.45,421.86,,Sudeste
89,2020-02-06 00:00:00,7014456,2020,1,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Paulo Roberto de Araújo Bastos,4500.0,0.0,4500.0,,Sudeste
90,2020-01-06 00:00:00,7014451,2020,1,DEM,ES,Norma Ayub,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,VITÓRIA TECNOLOGIA DA INFORMAÇÃO LTDA,480.0,0.0,480.0,,Sudeste
91,2020-01-28 00:00:00,7014060,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO BANDEIRA LTDA - EPP,237.54,0.0,237.54,,Sudeste
92,2020-01-17 00:00:00,7014059,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO ESCOLA COMERCIO DE COMBUSTIVEIS LUBRIFICANTES,177.72,0.0,177.72,,Sudeste
93,2020-02-03 00:00:00,7002786,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO GOLDEN GAS LAGO LTDA,100.0,0.0,100.0,,Sudeste
94,2020-02-17 00:00:00,7018294,2020,2,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO GOLDEN GAS LAGO LTDA,50.0,0.0,50.0,,Sudeste
95,2020-02-06 00:00:00,7008288,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,100.0,0.0,100.0,,Sudeste
96,2020-02-06 00:00:00,7014379,2020,2,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,DISTRIBUIDORA BRASILIA DE VEICULOS S/A - POSTO DISBRAVE SOBR,210.39,0.0,210.39,,Sudeste
97,2020-02-07 00:00:00,7014027,2020,2,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,FRATELLI POSTO DE COMBUSTIVEIS LTDA,134.1,0.0,134.1,,Sudeste
98,2020-01-16 00:00:00,7014058,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,POSTO DE SERVICO GAETA LTDA EPP,145.34,0.0,145.34,,Sudeste
99,2020-01-02 00:00:00,7014055,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,R K REVENDA DE PETROLEO LTDA,152.02,0.0,152.02,,Sudeste
100,2020-01-08 00:00:00,7014056,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,VIEIRA REVENDEDORA DE PETROLEO LTDA,206.04,0.0,206.04,,Sudeste
101,2020-01-21 00:00:00,7014061,2020,1,DEM,ES,Norma Ayub,COMBUSTÍVEIS E LUBRIFICANTES.,VIEIRA REVENDEDORA DE PETROLEO LTDA,192.66,0.0,192.66,,Sudeste
103,2020-01-09 00:00:00,7014462,2020,1,DEM,ES,Norma Ayub,TELEFONIA,Telefônica Brasil S.A. VIVO,217.74,5.1,212.64,,Sudeste
104,2020-02-13 17:09:08,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,13.0,0.0,13.0,,Sudeste
105,2020-02-13 17:09:42,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - ENCOMENDA PAC,54.04,0.0,54.04,,Sudeste
106,2020-03-11 13:53:45,0,2020,3,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - ENCOMENDA PAC,47.5,0.0,47.5,,Sudeste
107,2020-02-17 11:53:04,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX 10 COM AR,72.65,0.0,72.65,,Sudeste
108,2020-02-18 17:09:47,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX 10 COM AR,72.65,0.0,72.65,,Sudeste
109,2020-02-05 18:06:11,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX CONVENCIONAL,53.19,0.0,53.19,,Sudeste
110,2020-02-11 17:37:46,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX CONVENCIONAL,91.18,0.0,91.18,,Sudeste
111,2020-02-12 14:54:35,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX CONVENCIONAL,45.59,0.0,45.59,,Sudeste
112,2020-02-19 11:16:23,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX CONVENCIONAL,38.43,0.0,38.43,,Sudeste
113,2020-02-19 16:57:17,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - SEDEX CONVENCIONAL,160.66,0.0,160.66,,Sudeste
114,2020-02-11 17:44:33,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - TELEGRAMA,12.36,0.0,12.36,,Sudeste
115,2020-02-13 18:21:50,0,2020,2,DEM,ES,Norma Ayub,SERVIÇOS POSTAIS,CORREIOS - TELEGRAMA,24.72,0.0,24.72,,Sudeste
116,2020-01-31 00:00:00,7009759,2020,1,DEM,ES,Norma Ayub,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LOCALIZA RENT A CAR SA,2388.62,0.0,2388.62,,Sudeste
117,2020-01-08 00:00:00,6995864,2020,1,DEM,ES,Norma Ayub,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,LOCAR 1000 LOCADORA DE VEICULOS LTDA ME,4000.0,0.0,4000.0,,Sudeste
118,2020-02-11 00:00:00,7011225,2020,2,PP,SP,Fausto Pinato,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,246.55,0.0,246.55,,Sudeste
119,2020-01-13 00:00:00,6995087,2020,1,PP,SP,Fausto Pinato,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO BRASIL DE FERNANDOPOLIS LTDA,1249.82,0.0,1249.82,,Sudeste
120,2020-02-11 00:00:00,7021671,2020,2,PP,SP,Fausto Pinato,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO BRASIL DE FERNANDOPOLIS LTDA,1298.72,0.0,1298.72,,Sudeste
121,2020-03-02 00:00:00,7024585,2020,3,PP,SP,Fausto Pinato,COMBUSTÍVEIS E LUBRIFICANTES.,AUTO POSTO PETROMINAS LTDA,250.0,0.0,250.0,,Sudeste
